,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,12989,13289,13988,12911,13154,14405,14065,13600,14170,14210,12932,13521,13948,13061,12828,13728,13178,12536,13544,13995,13221,12945,13786,13074,12577,13556,13606,12973,13156,14159,13410,13224,14335,14571,13862,13796,14627,14094,13451,14370,14736,13993,13625,14310,14154,13151,13929,14584,13938,13520,14140,14124,12919,13486,14134,13539,12966,13538,14120,13081,13666,14720,14437,13991,14551,15035,13818,14240,15214,14982,14384,14799,15618,14538,14573,15551,15460,14696,14798,15611,14749,14305,15237,15346,14479,14222,14965,14564,13813,14808,15485,15025,14841,15713,15912,14872,15557,16283,15726,15096,15554,16023,14802,15232,16205,15956,15329,15693,16445,15262,15183,16057,15890,15019,15042,15894,15134,14863,16021,16392,15754,15659,16441,15954,15041
0,16242,17512,16903,18274,17263,18596,17476,18267,16659,17720,16551,17424,16512,17299,17826,17087,18174,17103,17768,18307,17409,17158,18071,18239,17513,18571,17506,18301,18738,17901,18754,18017,18146,18995,18022,18274,18347,17634,18868,18222,18176,18895,17685,18968,18723,18261,19407,18264,19299,19713,18977,19935,19383,19644,20659,19820,20117,20245,19340,20483,19874,19741,20709,19400,20540,20339,19518,20304,18928,19392,19857,18880,19706,18793,19730,19999,19536,20710,19549,20875,20114,20104,20041,19578,20527,19630,20617,19597,20435,20252,19626,20582,19549,21184,20686,21124,21112,20995,21787,20633,21291,19488,20243,20163,20365,22187,22512,24819,24828,24832,24825,24820,24829,24826,24830,24821,24821,24828,24827,24825,24827,24822,24821,24832,24822
0,431,430,430,433,429,430,432,432,431,434,434,430,433,432,432,432,434,432,430,433,431,429,431,434,432,433,433,432,431,432,433,430,431,432,431,431,430,433,431,429,432,431,430,430,433,432,431,432,434,432,432,435,433,432,433,433,432,430,434,435,431,432,434,434,431,432,436,433,434,436,435,433,434,440,433,434,436,436,434,433,438,433,433,436,436,434,433,437,436,432,435,436,435,434,436,440,433,437,442,438,435,438,442,433,435,439,437,433,435,440,433,434,436,435,433,434,439,434,433,438,438,436,436,442,441
0,19236,19151,19208,19349,20195,19752,19559,18876,19264,18899,18942,18323,19132,18776,18860,18350,18756,18719,18233,18368,18896,19226,19031,19236,18913,19749,18856,18722,19318,18004,18933,18799,17861,18398,18190,17513,18615,18245,17615,18442,17697,17542,18548,17855,17460,18395,17308,17774,18779,18144,18177,18990,17642,18325,18748,17811,18063,18653,17562,18952,18432,18375,18519,17872,18782,17707,18403,17486,18489,18047,17728,18091,17118,18169,17199,17830,17304,17801,18170,17185,17999,16474,17644,17207,17165,17727,17176,18399,17494,18154,17258,17643,17802,16953,17927,16655,18088,17699,17876,18247,17798,18750,17642,18279,17248,17977,18176,17522,18487,17193,18481,17768,17863,18012,17630,18570,17558,18461,17575,18617,18828,18278,19099,17724,18862
0,24860,24835,24858,24801,24792,24880,24778,24784,24775,24818,24817,24732,24777,24776,24810,24727,24812,24820,24815,24821,24816,24926,24909,24861,24731,24758,24759,24655,24750,24770,24189,24697,24761,24755,24660,24764,24768,24405,24367,24757,24759,24534,24658,24767,24592,24365,24775,24761,24767,24761,24770,24727,24382,24764,24759,24697,24473,24768,24751,23846,24137,24749,24323,23510,23613,24191,23024,22973,23947,23952,23314,23519,24435,23674,23399,24407,24552,23791,23622,24351,23860,23038,23833,24236,23542,23145,23783,23813,22770,23433,24099,23561,22994,23408,23759,22475,22758,23562,23196,22487,22765,23476,22401,22480,23498,23514,22883,23071,23982,23265,22948,23959,24201,23474,23391,24214,23768,23015,23818,24126,23316,22823,23364,23261,22188
0,429,431,430,428,428,429,431,430,429,430,428,430,430,432,430,429,428,430,430,429,429,429,430,428,431,428,429,431,430,429,428,430,429,428,430,429,429,428,430,428,429,430,429,429,429,426,429,429,429,428,429,429,430,429,429,430,430,429,428,428,429,429,430,430,429,428,429,428,429,428,429,429,429,428,428,429,429,431,428,430,429,429,430,429,430,429,429,429,427,430,428,429,431,429,429,430,428,429,429,430,429,430,428,430,429,429,431,429,428,428,429,429,429,431,429,429,429,430,429,428,431,429,429,429,429
0,14502,14017,14411,13903,14513,13941,14138,14046,13925,14085,13544,14586,14558,14476,14645,14932,14946,14828,15095,15254,15880,15306,16258,14962,16041,16281,15803,16967,16022,16762,17309,16409,16991,16521,16243,17170,16242,16227,16544,15381,16425,15844,15388,16243,14900,15893,16001,15268,16212,15389,15815,16661,15911,16802,16122,16685,16799,15871,16704,15368,16753,16369,16532,16946,16621,17787,16968,17899,16934,18105,17551,17192,17568,16690,17847,17028,17812,17344,17918,18284,17420,18298,16740,17578,16447,15520,14924,13392,13694,12123,12373,11319,11804,12095,11447,12522,11330,12779,12445,12662,13129,12653,13610,12503,13031,11974,12576,12868,12447,13772,12823,14352,13852,13941,14071,13557,14418,13313,13971,12884,13640,13628,12893,13703,12343
0,15407,15919,15490,16269,15871,16350,16171,16760,16265,16568,16342,16077,15620,15232,15602,16075,16466,16731,16951,17178,16509,17019,16305,17375,16593,17642,16967,17558,18216,17406,18128,17710,17780,18876,18232,18618,19056,18312,19530,18911,18529,19212,17762,18820,18925,18509,19834,19195,20029,20659,19674,20109,19573,19154,20036,19093,19384,19175,19241,20114,19432,20652,19667,20842,20551,19930,20226,18775,19591,18671,19503,20024,21468,23416,23806,24808,24806,24803,24807,24809,24808,24805,24808,24803,24815,24742,24726,24750,24754,24834,24824,24820,24826,24830,24818,24824,24824,24828,24828,24823,24824,24827,24822,24830,24823,24818,24827,24831,24825,24823,24826,24827,24832,24821,24821,24824,24825,24826,24803,24819,24827,24835,24825,24820,24821
0,479,488,485,493,477,483,473,479,486,472,505,468,502,465,483,460,495,483,487,503,482,520,478,521,468,510,495,482,528,472,527,482,508,520,514,610,521,598,526,562,622,512,570,504,546,604,517,599,511,554,579,499,553,493,549,609,529,662,542,677,981,605,1018,600,1106,1394,869,1983,875,2061,1439,1149,1304,858,1550,701,1259,608,1147,1158,741,1522,696,1746,1202,1181,1330,936,1585,670,1166,566,1033,899,743,1441,715,1691,971,1101,1129,968,1652,791,1629,795,1810,2003,1530,2500,1363,2714,2163,2451,2554,2330,3190,2462,3904,3380,4451,3524,1159,487,443
0,14248,14949,14505,15671,15354,16125,15222,15510,14448,15267,14710,16142,15205,16571,15969,15762,15308,15595,16118,15657,16913,16032,17658,17163,17489,17587,17293,18010,16843,17545,16287,17106,16805,16109,16758,15265,15966,16303,15515,16225,15826,15379,16326,15535,15255,16184,14997,16110,16659,16162,17140,17325,17229,18661,18263,17975,18807,17344,17760,17861,16616,16746,16646,15719,16727,16124,15413,16021,14628,15664,14888,15819,15347,16101,16455,15683,16564,15082,16168,15328,14981,14973,14190,15008,13888,14512,13456,14019,14105,13400,14468,13423,15024,14621,14975,15170,15016,15799,14613,15156,13649,14429,14305,13960,14880,13919,15270,14513,14909,14768,14894,15653,14834,15839,14473,15482,15023,14666,15067,14274,15404,14535,15334,14650,15417
0,12841,12463,13372,13354,12462,12360,13070,11856,12027,13101,12677,12148,12778,13049,11804,12507,13039,12248,12104,12942,12681,11936,12890,13296,12513,12593,13416,12422,12381,13428,13491,12810,12942,13845,13241,13039,14203,14652,14202,14321,15283,15030,14536,15517,15828,15017,14585,15090,14664,13503,13998,14309,13458,12779,13202,13261,12138,12742,13528,13139,12689,13287,13971,12967,13478,14565,14454,13913,14272,15105,14145,14181,15240,15310,14630,14673,15419,14565,14002,14843,15025,14287,14122,14917,14663,13930,14809,15344,14774,14487,15224,15423,14374,14941,15498,14639,13604,13528,13326,11413,11035,11223,10321,9101,8895,9204,7861,7750,8600,8456,7646,7627,8302,7373,6948,7829,7983,7288,7263,8210,7994,7546,8697,9426,9065
0,429,428,429,429,429,428,429,429,429,429,430,429,428,428,429,430,431,430,431,433,432,432,429,431,430,432,431,434,430,431,431,431,432,433,435,431,431,434,435,433,434,439,434,433,436,437,434,434,436,433,432,433,433,432,431,432,434,430,433,436,432,433,434,436,431,431,432,430,430,430,432,430,431,431,430,430,430,433,430,431,431,431,430,430,432,431,429,431,429,430,431,430,430,429,430,429,428,429,430,430,428,429,428,429,429,429,431,430,429,430,429,429,429,432,429,430,429,429,430,429,430,430,429,430,429
0,12558,12571,13324,12959,12165,12431,13071,11893,12433,13383,12838,12360,13028,12867,12042,13158,13380,12695,12750,13654,13198,12886,13918,13892,12265,12200,10445,8804,8371,7120,4790,2954,1949,552,484,483,452,438,437,434,431,430,430,429,430,430,430,430,429,428,428,430,429,430,429,428,429,428,429,428,430,429,429,428,429,429,430,428,430,428,428,428,428,428,429,430,428,429,428,429,429,429,428,428,429,427,428,428,429,430,429,429,428,427,429,428,431,429,429,427,426,428,428,429,429,428,429,428,430,428,429,430,428,429,428,429,428,428,429,429,429,428,428,429,428
0,22160,21408,22954,22023,22731,21465,22526,21482,22329,20983,22047,21218,22471,22073,23438,22768,23226,22729,23418,22523,23284,22161,22082,22892,22108,21821,22671,21570,21811,22592,21773,21553,22340,21177,21634,22561,21941,21790,22659,21599,21901,22783,22102,21817,22668,21606,21723,22534,21821,21420,22292,21449,21735,22901,22513,22371,23138,22204,23500,22625,22910,22449,22489,23032,22246,23361,22245,23562,23340,23124,23699,22819,23912,22909,23294,22599,22834,23154,22127,22859,21394,22529,22012,21868,22339,21817,22982,22062,22721,21948,22465,22723,21979,22935,21792,23196,22628,22526,22625,22053,23027,22130,22948,22063,22861,23005,22226,23070,21732,23016,22457,22687,22934,22742,23731,22776,23493,22278,22856,22486,21586,22290,21073,22479,22007
0,429,429,429,430,430,429,430,429,428,430,430,428,430,430,430,430,430,430,429,428,428,429,429,429,429,429,429,429,431,429,429,429,429,429,429,428,426,429,428,430,428,429,429,429,430,429,429,429,430,430,429,429,428,429,428,428,429,429,429,430,429,430,429,429,430,428,430,428,429,429,429,430,429,428,432,429,430,429,428,432,430,427,428,430,429,428,430,429,430,429,430,430,430,431,430,430,429,430,429,429,429,428,432,429,430,430,429,430,430,430,429,429,429,431,429,430,432,430,432,430,430,432,431,431,430
0,18676,17495,17364,15992,16678,15718,16237,15158,16496,15864,17109,16618,18332,17730,19005,18105,19532,18768,19839,18582,19632,19007,18639,19302,18099,19278,19097,18437,19201,17746,18093,18064,16852,17253,16534,16604,17654,16972,17348,17634,16853,17936,17274,16983,17750,16504,17642,17636,17090,18175,17275,18324,18587,18174,19200,18093,19434,18803,18966,18979,18686,19398,18240,18829,17578,18462,18336,17865,18173,17748,18647,17707,18611,17842,18932,18990,18617,19274,18068,19211,18481,19066,19141,19637,20598,19888,20904,19682,20704,20321,19831,20170,19140,20084,19019,19427,18865,19356,20014,19379,20404,19031,19995,19220,18795,19000,18300,19379,18508,19248,18558,19114,19301,18435,19181,17694,18717,17894,17562,17590,16973,17971,17212,18227,17663
0,24871,24869,24865,24751,24880,24760,24769,24761,24796,24805,24823,24844,24859,24761,24785,24764,24793,24794,24810,24804,24806,24818,24889,24850,24799,24785,24795,24795,24788,24794,24792,24784,24793,24794,24795,24791,24798,24788,24791,24795,24794,24788,24794,24789,24776,24793,24786,24798,24796,24791,24796,24793,24800,24791,24794,24788,24797,24794,24798,24797,24805,24803,24809,24806,24804,24799,24807,24810,24807,24807,24803,24805,24814,24808,24800,24807,24806,24811,24808,24802,24803,24812,24809,24802,24802,24806,24808,24803,24802,24808,24807,24803,24801,24801,24808,24780,24811,24807,24802,24809,24808,24803,24798,24805,24806,24811,24802,24803,24810,24810,24805,24804,24803,24804,24810,24464,24808,24805,24807,24807,24805,24800,24800,24780,24575
0,428,428,428,429,430,431,430,429,429,428,431,430,430,429,429,429,429,429,430,429,428,427,429,429,429,431,430,428,429,429,429,429,429,431,429,427,430,429,430,429,429,429,428,428,430,430,429,428,428,428,429,428,429,429,428,429,430,429,429,428,430,429,431,430,430,429,428,430,428,428,428,428,428,429,429,429,429,429,429,429,429,430,430,430,429,428,429,429,428,430,430,428,429,429,429,429,430,428,428,429,428,430,429,431,429,429,429,428,429,429,430,430,430,430,427,428,428,432,429,429,429,428,429,429,429
0,18276,17259,17816,16470,17598,16457,16730,14985,15685,14104,14705,13329,14242,13175,13980,13228,14123,13262,14030,12581,13089,12880,11535,11597,10624,9760,10341,9347,8561,9092,7836,7906,8518,7573,7261,7772,6376,6893,7299,6435,6606,7105,6051,7090,7199,6206,6494,6111,5239,6011,5613,4827,5419,3970,4543,4072,2821,3147,1627,2263,1910,1059,1288,630,840,530,524,490,475,485,453,455,447,445,448,439,441,437,439,439,436,438,433,434,435,434,438,431,436,434,433,433,430,431,430,432,429,430,430,430,431,428,429,429,428,429,428,428,428,429,428,429,428,428,429,428,427,428,428,429,428,427,428,429,429
0,19925,20329,19546,20350,19456,20178,19545,20112,19381,19765,19799,20783,20907,21633,21447,22070,21375,21592,21234,21795,20793,21502,20426,21568,20874,21687,21139,20749,21372,20091,19464,20175,19377,21227,22675,23316,24807,24800,24794,24791,24797,24796,24798,24796,24790,24796,24801,24802,24802,24797,24796,24804,24803,24806,24798,24800,24786,24811,24810,24809,24804,24801,24807,24789,24808,24803,24808,24810,24800,24807,24806,24811,24814,24808,24805,24805,24806,24809,24805,24806,24807,24814,24805,24805,24802,24806,24810,24807,24803,24809,24811,24777,24809,24803,24808,24813,24815,24805,24806,24806,24811,24809,24796,24810,24812,24811,24805,24804,24806,24815,24811,24803,24807,24807,24812,24657,24805,24809,24814,24700,24808,24804,24808,24814,24603
